threshold,accuracy,precision,recall,f1,false_negative_rate,filter_rate,true_positives,true_negatives,false_positives,false_negatives,total_samples
0.01,0.8768642235405001,0.8007363505747126,0.9997757596143065,0.8892545499875343,0.0002242403856934634,0.8768642235405001,8917,6899,2219,2,18037
0.02,0.8890613738426567,0.8168743129351411,0.9997757596143065,0.8991177211998992,0.0002242403856934634,0.8890613738426567,8917,7119,1999,2,18037
0.03,0.8952153905860176,0.8252660805182785,0.9997757596143065,0.9041776515919693,0.0002242403856934634,0.8952153905860176,8917,7230,1888,2,18037
0.04,0.8993735100072074,0.8310344827586207,0.9997757596143065,0.9076288869662579,0.0002242403856934634,0.8993735100072074,8917,7305,1813,2,18037
0.05,0.9032544214669845,0.8365547006943141,0.9996636394214599,0.9108647903151658,0.0003363605785401951,0.9032544214669845,8916,7376,1742,3,18037
0.060000000000000005,0.9070798913344791,0.8420058551326849,0.9996636394214599,0.9140865286036499,0.0003363605785401951,0.9070798913344791,8916,7445,1673,3,18037
0.06999999999999999,0.9099074125408881,0.8461465451784358,0.9995515192286131,0.9164739141608841,0.0004484807713869268,0.9099074125408881,8915,7497,1621,4,18037
0.08,0.9127903753395797,0.8503433803891645,0.9995515192286131,0.9189300623614904,0.0004484807713869268,0.9127903753395797,8915,7549,1569,4,18037
0.09,0.9144536231080557,0.8527836234933996,0.9995515192286131,0.9203530687038662,0.0004484807713869268,0.9144536231080557,8915,7579,1539,4,18037
0.09999999999999999,0.9170039363530521,0.8565526518063028,0.9995515192286131,0.9225435918663011,0.0004484807713869268,0.9170039363530521,8915,7625,1493,4,18037
0.11,0.9194433664134833,0.860258637328701,0.9994393990357664,0.9246408381308024,0.0005606009642336585,0.9194433664134833,8914,7670,1448,5,18037
0.12,0.9209402894051117,0.8625762121358753,0.9993272788429196,0.9259297735300228,0.0006727211570803902,0.9209402894051117,8913,7698,1420,6,18037
0.13,0.92243721239674,0.8648360178536775,0.9993272788429196,0.9272301690507152,0.0006727211570803902,0.92243721239674,8913,7725,1393,6,18037
0.14,0.9241559017574985,0.8675167915896038,0.9992151586500729,0.9287203001250521,0.0007848413499271219,0.9241559017574985,8912,7757,1361,7,18037
0.15000000000000002,0.925153850418584,0.8691834942932397,0.9989909182643795,0.9295774647887325,0.0010090817356205853,0.925153850418584,8910,7777,1341,9,18037
0.16,0.9265953318179299,0.8713936430317848,0.9989909182643795,0.9308399498537401,0.0010090817356205853,0.9265953318179299,8910,7803,1315,9,18037
0.17,0.9277041636635804,0.8731014208721215,0.9989909182643795,0.9318134281531061,0.0010090817356205853,0.9277041636635804,8910,7823,1295,9,18037
0.18000000000000002,0.9286466707323834,0.8745583038869258,0.9989909182643795,0.9326424870466321,0.0010090817356205853,0.9286466707323834,8910,7840,1278,9,18037
0.19,0.9295337362089039,0.876007866273353,0.9988787980715327,0.9334171512389334,0.001121201928467317,0.9295337362089039,8909,7857,1261,10,18037
0.2,0.9307534512391196,0.877906976744186,0.9988787980715327,0.9344941522001364,0.001121201928467317,0.9307534512391196,8909,7879,1239,10,18037
0.21000000000000002,0.9316959583079226,0.8793801204224657,0.9988787980715327,0.9353280839895014,0.001121201928467317,0.9316959583079226,8909,7896,1222,10,18037
0.22,0.9325830237844431,0.8807711319822047,0.9988787980715327,0.9361143217400442,0.001121201928467317,0.9325830237844431,8909,7912,1206,10,18037
0.23,0.9334700892609635,0.8822422501733188,0.998766677878686,0.9368952461085402,0.0012333221213140487,0.9334700892609635,8908,7929,1189,11,18037
0.24000000000000002,0.9344125963297666,0.8837301587301587,0.998766677878686,0.9377335649244697,0.0012333221213140487,0.9344125963297666,8908,7946,1172,11,18037
0.25,0.935188778621722,0.88495926882575,0.998766677878686,0.9384250724255991,0.0012333221213140487,0.935188778621722,8908,7960,1158,11,18037
0.26,0.9360758440982425,0.8863681592039802,0.998766677878686,0.9392166165849544,0.0012333221213140487,0.9360758440982425,8908,7976,1142,11,18037
0.27,0.936962909574763,0.8877815427546343,0.998766677878686,0.9400094971772278,0.0012333221213140487,0.936962909574763,8908,7992,1126,11,18037
0.28,0.9378499750512834,0.8891994410061889,0.998766677878686,0.9408037175899034,0.0012333221213140487,0.9378499750512834,8908,8008,1110,11,18037
0.29000000000000004,0.9387924821200865,0.8907109289071092,0.998766677878686,0.9416490486257928,0.0012333221213140487,0.9387924821200865,8908,8025,1093,11,18037
0.3,0.9393468980429118,0.8916024421979781,0.998766677878686,0.9421470121628769,0.0012333221213140487,0.9393468980429118,8908,8035,1083,11,18037
0.31,0.939679547596607,0.8921382073109665,0.998766677878686,0.9424460431654677,0.0012333221213140487,0.939679547596607,8908,8041,1077,11,18037
0.32,0.9402894051117148,0.8932009626955475,0.9986545576858392,0.9429887247895823,0.0013454423141607804,0.9402894051117148,8907,8053,1065,12,18037
0.33,0.9406774962576925,0.8939074575930944,0.9985424374929925,0.9433322741235037,0.001457562507007512,0.9406774962576925,8906,8061,1057,13,18037
0.34,0.9410655874036702,0.8946945337620579,0.9983181971072991,0.9436701817603731,0.0016818028927009755,0.9410655874036702,8904,8070,1048,15,18037
0.35000000000000003,0.9417863281033432,0.8959444500352219,0.9982060769144523,0.9443148069579974,0.0017939230855477072,0.9417863281033432,8903,8084,1034,16,18037
0.36000000000000004,0.9422853024338859,0.8967566478646253,0.9982060769144523,0.9447657452114394,0.0017939230855477072,0.9422853024338859,8903,8093,1025,16,18037
0.37,0.9427288351721461,0.8974798387096774,0.9982060769144523,0.945166940920431,0.0017939230855477072,0.9427288351721461,8903,8101,1017,16,18037
0.38,0.9433941342795366,0.8986472844740562,0.9980939567216056,0.9457636122177956,0.0019060432783944389,0.9433941342795366,8902,8114,1004,17,18037
0.39,0.9439485502023618,0.8997169429842297,0.9978697163359121,0.9462548508851204,0.002130283664087902,0.9439485502023618,8900,8126,992,19,18037
0.4,0.9446138493097522,0.9008097165991903,0.9978697163359121,0.9468588754720997,0.002130283664087902,0.9446138493097522,8900,8138,980,19,18037
0.41000000000000003,0.9451128236402949,0.9017124328706049,0.9977575961430654,0.9473067915690867,0.002242403856934634,0.9451128236402949,8899,8148,970,20,18037
0.42000000000000004,0.9453900316017076,0.902169505271695,0.9977575961430654,0.9475589628919767,0.002242403856934634,0.9453900316017076,8899,8153,965,20,18037
0.43,0.9458890059322503,0.903075205521161,0.9976454759502187,0.9480076709993608,0.0023545240497813654,0.9458890059322503,8898,8163,955,21,18037
0.44,0.9462216554859455,0.9036254696861988,0.9976454759502187,0.9483107748054993,0.0023545240497813654,0.9462216554859455,8898,8169,949,21,18037
